,id_str,at_44,at_45,full_text,pruned_text
0,1117206445756428295,True,True,"@joncoopertweets @BarackObama @realDonaldTrump 1/2 of the 59 millions are Russian bots, 1/4 are trolls, 1/8 are actually accounts belonging to Trumps followers dogs. Its true","@joncoopertweets   1/2 of the 59 millions are russian bots, 1/4 are trolls, 1/8 are actually accounts belonging to trumps followers dogs. its true"
1,1117206412101332993,True,False,"@davidcicilline @BarackObama Hell, I miss ALL of them!","@davidcicilline  hell, i miss all of them!"
2,1117206404228624384,True,False,@SylviaKAlston @BarackObama I totally agree! #44 “forever my President”,@sylviakalston  i totally agree! #44 “forever my president”
3,1117206361471844358,True,True,@ballweg_matt @Elaine_Greek @EricVonHaden1 @BrendaWinkowsk2 @KayaJones @realDonaldTrump @KayaJones0 @TomiLahren @RealDrGina @JoeBiden @ainsleyearhardt @ShannonBream @JessicaTarlov @kayleighmcenany @ScottWalker @CrystalDani_ @tammybaldwin @AnnaG3713 @benshapiro @johnloudon @HillaryClinton @ewjjr1 @garyhgoodridge @handelsblatt @BarackObama @jack @RealCandaceO @foxandfriends @SandraSmithFox @FLOTUS @NBCNews @LindseyGrahamSC @VP @senchuckschumer @SenSchumer @charliekirk11 @bwill1130 @NRA @jillstien @HeyTammyBruce @fox47madison @IvankaTrump @USCellular @FoxNews @FoxNewsInsider @lydaloudon @AOC @TuckerCarlson @IlhanMN @GOP We are thy brother n sister of He our God our Father our Creator I love to awake in this Y’all https://t.co/RoL0YF9kRm,@ballweg_matt @elaine_greek @ericvonhaden1 @brendawinkowsk2 @kayajones  @kayajones0 @tomilahren @realdrgina @joebiden @ainsleyearhardt @shannonbream @jessicatarlov @kayleighmcenany @scottwalker @crystaldani_ @tammybaldwin @annag3713 @benshapiro @johnloudon @hillaryclinton @ewjjr1 @garyhgoodridge @handelsblatt  @jack @realcandaceo @foxandfriends @sandrasmithfox @flotus @nbcnews @lindseygrahamsc @vp @senchuckschumer @senschumer @charliekirk11 @bwill1130 @nra @jillstien @heytammybruce @fox47madison @ivankatrump @uscellular @foxnews @foxnewsinsider @lydaloudon @aoc @tuckercarlson @ilhanmn @gop we are thy brother n sister of he our god our father our creator i love to awake in this y’all https://t.co/rol0yf9krm
4,1117206361316708353,True,True,"@joncoopertweets @BarackObama @realDonaldTrump Do we really need an explanation? But I love that you point this out, the shade of it all, haha.","@joncoopertweets   do we really need an explanation? but i love that you point this out, the shade of it all, haha."
5,1117206263102881792,True,True,@joncoopertweets @BarackObama @realDonaldTrump Kinda like the assholes inauguration,@joncoopertweets   kinda like the assholes inauguration
6,1117206248733270016,True,False,@davidcicilline @BarackObama Evergreen tweet,@davidcicilline  evergreen tweet
7,1117206082563264513,True,True,@LastStand2019 @realDonaldTrump @BarackObama Obama is the antichrist,@laststand2019   obama is the antichrist
8,1117206034479587328,True,True,"@KamalaHarris @IlhanMN @BarackObama did that routinely while the Democrats &amp; @MainstreamMedia excused him for years. To be blunt, it's leftwing hypocritical sanctimony like yours that we must defeat.
Please find a real cause or case for change that isn't already being addressed by @realDonaldTrump.","@kamalaharris @ilhanmn  did that routinely while the democrats &amp; @mainstreammedia excused him for years. to be blunt, it's leftwing hypocritical sanctimony like yours that we must defeat.
please find a real cause or case for change that isn't already being addressed by ."
9,1117206020760199169,True,False,@davidcicilline @BarackObama You and I both.,@davidcicilline  you and i both.
10,1117205995183321088,True,False,"@Lrihendry @MckownScott Geez, the same friggin name, over and over. Yet no one touches @BarackObama !!??","@lrihendry @mckownscott geez, the same friggin name, over and over. yet no one touches  !!??"
11,1117205977911242752,True,False,"@davidcicilline @BarackObama A real actually elected president, with Intelligence,ethics, morality, For the good of the United States.","@davidcicilline  a real actually elected president, with intelligence,ethics, morality, for the good of the united states."
12,1117205972227747840,True,True,"@TomCruise @FBI @nswpolice @AusFedPolice @ACTPolicing @LAPDHQ @NYPDnews @LBPD @DCPoliceDept @FBIMiamiFL @NewYorkFBI @FBILosAngeles @LBPDDetectives @Nashvillepolice @DallasPD @TasmaniaPolice @QldPolice @VictoriaPolice @PerthPol @WA_Police @TxStateUPD @UKPolice @metpoliceuk @myclearwaterPD @Grimezsz @KensingtonRoyal @elonmusk @FBITampa @nytimes @CityPolice @Mark_Weinberger @Nigella_Lawson @WarrenBuffett @jimmyfallon @joerogan @rfergusonweb @RebFergusonFan @RebeccaActress @realmonaghan @OlyaKurylenko @mjfree @Swrightolsen @caseyrosewilson @NicoleKidman Wondering belong to @TomCruise robot cow man @BarackObama and @realDonaldTrump connection with @_Kim_Jongun @Official_KJU in Singapore, Washington DC, Vietnam .Probably all organized by @TomCruise .Whatever Tom Cruise asked Donal Trump did it. Tom Cruise tweeted on trend","@tomcruise @fbi @nswpolice @ausfedpolice @actpolicing @lapdhq @nypdnews @lbpd @dcpolicedept @fbimiamifl @newyorkfbi @fbilosangeles @lbpddetectives @nashvillepolice @dallaspd @tasmaniapolice @qldpolice @victoriapolice @perthpol @wa_police @txstateupd @ukpolice @metpoliceuk @myclearwaterpd @grimezsz @kensingtonroyal @elonmusk @fbitampa @nytimes @citypolice @mark_weinberger @nigella_lawson @warrenbuffett @jimmyfallon @joerogan @rfergusonweb @rebfergusonfan @rebeccaactress @realmonaghan @olyakurylenko @mjfree @swrightolsen @caseyrosewilson @nicolekidman wondering belong to @tomcruise robot cow man  and  connection with @_kim_jongun @official_kju in singapore, washington dc, vietnam .probably all organized by @tomcruise .whatever tom cruise asked donal trump did it. tom cruise tweeted on trend"
13,1117205959074512896,True,False,"Tick, Tock. Election is next year! 

@maddow @BarackObama @HillaryClinton @KamalaHarris https://t.co/QF9dAtrIP8","tick, tock. election is next year! 

@maddow  @hillaryclinton @kamalaharris https://t.co/qf9datrip8"
14,1117205919711076352,True,True,@joncoopertweets @BarackObama @realDonaldTrump Back during the campaign I was always pointing this out when media was talking about DJT social media presence. Then when Twitter cleaned up their followers they were talking about how many dropped from Obama without pointing out how he still surpassed DJT.,@joncoopertweets   back during the campaign i was always pointing this out when media was talking about djt social media presence. then when twitter cleaned up their followers they were talking about how many dropped from obama without pointing out how he still surpassed djt.
